2.5940707,0.000,10174_64,80,192.168.220.7,53831,1,66,TCP,.A..S.
2.2178507,0.000,192.168.220.9,60858,10667_192,80,1,66,TCP,.A....
2.318793,0.000,11273_188,80,192.168.220.8,34405,1,66,TCP,.A....
2.587708,0.000,192.168.100.5,445,192.168.220.5,43380,1,108,TCP,.AP...
2.457072,0.005,192.168.220.16,33214,192.168.100.6,80,6,545,TCP,.AP.SF
2.4598386,0.027,192.168.220.7,43350,10174_64,80,2,142,TCP,.A..S.
2.3998964,0.000,10000_35,443,192.168.220.8,59676,1,54,TCP,.A....
2.3209167,0.061,192.168.220.13,51874,10750_206,443,2,696,TCP,.AP...
2.4813247,0.004,192.168.220.16,59676,192.168.100.6,80,6,545,TCP,.AP.SF
2.2874873,0.000,192.168.220.9,60858,10667_192,80,1,66,TCP,.A....
2.5200737,0.001,192.168.100.6,80,192.168.220.16,59902,3,206,TCP,.A..SF
2.4801276,0.027,192.168.220.7,43350,10174_64,80,2,140,TCP,.A..S.
2.7618022,0.000,EXT_SERVER,8082,192.168.200.9,54089,1,200,TCP,.AP...
2.3608332,0.000,192.168.220.13,56978,10414_83,443,1,66,TCP,.A....
2.3565643,0.308,192.168.220.16,50559,10667_192,443,5,1748,TCP,.AP.SF
2.4061632,0.000,192.168.220.8,62170,10000_35,443,1,66,TCP,.A....
2.523663,0.019,192.168.220.9,36884,10793_130,80,2,132,TCP,.A...F
2.4101105,0.000,10022_143,443,192.168.220.15,58734,1,66,TCP,.A....
2.9987307,0.000,192.168.100.5,445,192.168.220.15,50570,1,70,TCP,.AP...
2.5468662,0.027,DNS,53,192.168.220.11,44100,2,6185,UDP,......
2.7281723,1.383,12363_79,80,192.168.220.16,55723,2,621,TCP,.AP.SF
2.5002747,0.000,10328_25,80,192.168.220.8,46458,1,66,TCP,.A....
2.4635615,0.000,12620_8,443,192.168.220.8,62969,1,66,TCP,.A....
2.2227433,0.017,192.168.200.5,36724,EXT_SERVER,8082,2,338,TCP,.AP...
2.4705393,0.000,10280_238,80,192.168.220.12,53831,1,66,TCP,.A....
2.6440706,0.000,192.168.200.8,62966,10098_125,80,1,55,TCP,.A....
2.418232,0.019,192.168.220.9,58525,10022_249,443,2,132,TCP,.A...F
2.3344712,0.000,11833_38,80,192.168.220.8,34405,1,66,TCP,.A....
2.4586952,0.000,12620_8,443,192.168.220.8,50082,1,66,TCP,.A....
2.4704442,0.000,10022_143,80,192.168.210.5,43728,1,66,TCP,.A....
2.5038805,0.000,10022_249,80,192.168.220.7,37394,1,66,TCP,.A....
